puuid,accountId,summonerId,summonerName,leaguePoints
poWSkVec3BaitxYjwsunwIT6vdNNgI7HrJkoEGWNKqNrnjf4RGBVgpoPVGWu4bNBD6skNFb22waiyg,aDz41zGhB9p5vvDIeX_-Uw9izVu5TDIfK0ozXlJxdCL1qCVSsD_Ekase,Y9mEJ4qeH3Iq0pAa8bAzG--km3Al7qVg1RjsDHki-rWfvETK,Kalista,1392
o2AXkbk6ceSg6QE0-_4KNKwdMpgpYY4hYxeQkjeaAYX-e5Y34nsDrzv-w4k9A8Y8DqU2B7mq-CHbEg,q-09MjROHOqZWUiBjW74LeoKx0FYjQbNBopqNDRtrPQm-w,yS91OOO0ggvAIKlYo6hQWJL21dvdbD2ch6qYCK3GpQcZX7U,Don Noway,1386
2SziV64horsLS1fmSHcGeBeRcQFXeMGSk5IbcIjAUWZrcqjiQ8OZ1gCdtjOYmbwNOdQ2KWX-mB1yyQ,OljhYtTRGPFfTFPKBbmJOT7R0BiFIODI6C76a99-2D6FG7hH1SzOuWYj,hKS8uzfo24cDTGJlOiextTCYbZfA9_0cOAcbwDnB3QPR9jxEQjvuUQAKHw,FIeshy,1380
a0bErPlDOEqa53kPmC_Fl61oxoKWm3qIQb6OpjASQThxQFWxI7IpFnM3HYeDvd9BNK-ZybbWX-BlCw,ZMA-6e6FXUYYvzuFdf5Gn1AX-jINeWl5_Ncg5H05IbbpXPg,JTdgay1Vi-tVFt3r5Tik8LLXlfxPZ_HaIkvzpCKwAxEA9lF3,Ttv Lathyrus,1355
za6GFw4BZcOD2_W3DyzYFF2sv5Kf7vVv7idfXJmTkol9WooZkNTqENz0XcKmRIMPCXhcGgG6BBEX0A,P74qRBagw0ZQFLLzoaGZtFH7I3WRTG2WudMrntX1EeEFgMU,ZspIcAbcC9psXtqlgxjILgPoJy1vfqDEMI0IbcZZVsfCGkY,OnlySpain,1351
BnEBDfKudGgv5MI2jQKCrLdEy9kisOT5dBS7A068ANvH5TJSGhTBfSUMohQetwPSZq_g3SBV6XuOAQ,D3I7BVWGqtyVjAvp62g8YLUqY3lLaxIvoiOXXWNfL4WdyFxxh7zR58kn,fVKdRitpo-8GdTrmsLH5cpJJV9XiHjUXytU6P9udHeet9OkH,Thørs Snorresson,1351
qd8ECGRX5ygt-ZZclgc-PtoUl4ZBrWtMuehEsawitZip1Y2PibtsMbHk6r8PSYhtAWKIW_bB0ftdcQ,YeXd0Jx9iMsiKk5hQapwTUq5lea0hXteKV74bSJz7H-RnA,y2PYjwYQEtVeP1K-urOKE1AvTxCgOTGxJC8z7tVqujrZfmY,Stormaxx,1335
QhlWf7wzbfdBbeujJ9uPo7RtJYzG-sCHgYBDfVAKO80VaNwFkpeF9hHXQO9AXun9wY9WiszWXlXD2g,eIrFVrmmmNG3XyS4xITrbAJhQmKboXt_i-zMFbnCSLYwGs0,onnbZNwcfw3VskCnPujM7xzY7U_6icufmbuOTGTFKRdozveJ,Angel ôf Death,1328
8_6uGSZ_1VyZQ4gWsViqXMvvVistHt-JRtsBOudYgqMJAJkiRQtfr4a-2Q02bepqEQzDJ2aJJ3hoaw,qZcTErcLOOLcWLsfrO0qnCrpPpQGHE4gl41Y9FX-l892qog,C6mAj6d1JNq4KFOxyJlmTniEMBYwlFbZvF5MWZ-hZViNU6c,Hεy lol,1326
wFcAWDouxz5bKgHpg4TnbR1-iDyywsh-cRRmx_P05cJ2nTZH_PT6gLReKk-k5F8dgNpx8Esp92L_aA,S-QXpIJndQFEh0PR7wnJKLYuW2F2k0iHvpjVipqvxOsUG-U5FdCZ7Pfi,60o92pFrle5d7vr245b_5e_4Y9xVLhP-qx0vThWgwDzkTmPx,fKing Sinerias,1322
FF2RBUhjP0GzLmhYLc_RcxhocRUydIChAvweqiRxJX9TGAn2sep_oHL7JMKR5qhkc_5GOeryTe4MsA,LRmBJ7ErHyREdjfJZM0tPDh6RR3s2LyhVAmk2L34xwvN1cI,igl0c-_1keBX6NwJVLXS7f0hyL7zYgua7Rln_TyRZv63ckU,Szygenda,1307
LJNEqLh-2JfDvakNQQOe9Qu6yW6fIbGsx-1LMmE9RUcFFgr0dubt79as6X9RsxNXttQa0WISN7qagQ,f4bTNjdgyI2HBt2fsdcBiit2GwUM84Pu5EPkcjy2CeR8eWk,RgUeN2amyK_pZu5krwT-lIN9TIAUOSH9AwDf07k9CHouQUk,Mr Tickle,1301
HkwcOx-eYhlvBmHAyZj89lxv-jj-0JO4TgpcG4PzvKLPal-xpRN6TRE1fj8H_quFb23t3hHdYnWzvA,vps5mnkLKbgQGBSlcRFThIvNHMb-Vn8ysSviHnnWOVrH4QY,XIidzzcSeZok1TPFnUa5ExjCKnjoEITJUoPuUSH8c4bEnQw,school phobia,1295
V_r-_KspVUukxs4rVdQkEpUbK1jCG424r0ojCPnRDd7uQ7w5Wels74t9kNebxVvqOh6NJA0FA8n3IA,R0SCv33__k6CKEy1zywayPa61SdFXMzkhxNT47K_Y6tgMSCBX-r2Sq0W,hWfI6QUq6oHBORYU2jfM0yw8giIZj-WuCTh433lqJAe8RWjY,Voidfiller LFT,1288
PvSy_ePRFXy6cIDajn_MVTyn32Lb08UzV4CBvHwFpubRiHvWJCxFxy37ySdwClrPvAeGRmqzmqUQDQ,imfsm8pShTak_igILiQStzrQ6I5x_I0Ctp1XQOTC9qDv6gg,hWTKgc2CW0W6LOToJBNNmedNVMFmjy1kWAZLD_NzqblKuzM,HenryEtooMessi,1284
w-W7JzC8HYv63OIyIKvGULSbqCk8e0wWTE9mXDp0cK8WwtaSzn-ZGX8taq-wmUILfYIXDUEczlQo3A,pWnlHMEk40HJSFe-8qXRfkXUHndG1_RGFlxUQfxfrrjgHUI,8MtwP9kGC9FU51wPWcfD1A_8B6LKc1v75WsBzilRz3e5oaE,LiL TommyG,1282
2Jm6mpJb7TsFe_RzEBCUzw3oArIUDYNPGVhrIFl_Y-cAHksUJWuWqnUSj8nKQjIlQXgksB1WRGV0bA,6WxQo1POkbfED6r9V6_LH-QepMCUhzelqBtwdob3IHEzrqVv3P7P8pkx,5ZisH73hA6MGRfp2JFcqggfuUjCbQfJjN_qpnE8qj3zdmnC_,be like mike23,1278
fO5LblX9-KswSYfd3Vr62WPcUplrdwIllh-eSmnh_quOqBF6jft6hCVleqJ8-C9CpfqceQ2YEiijCA,wINxfjQyJhF9Gg-YaLU7k9yfivLvaMgOOVTJQdOkR5U1PXY,J7lVxqGzb-iAtZVVPwbz9RMaIcEUgyca8Z04M0qxWdCABzg,Peng04,1278
EVMFo0JAd7HGZPkaWg2iA7L41sBBsAsIfo-X9-qO0Uf_zZqRkmNn8cKEhriHsYiux4-1OGOUhmb8ug,EeoiWkzXGSe4Lf-zHj7vIeRc7KwfWOO-aKqpUXyqsCS0RA,AwTRBbn92zpjTkLPG9yfbaXaEKQT1Yo8dd9f47Hrx9QR704,MetroArcher,1271
urTbNE_CGgYb209qJUslcD1SL8ABWbPtusswVshSJuQx43HUa73rWGXJ-l9JXdepg1ZZT-SNUXxBdA,RMDvGKlLp1fZQdTH82tMxPsfvT0MWVXf36HbpLIYY8_wwA,QtSmmGdz6S8RI3BiN7V85XT63BnNF6TG1N9H6yaXmn_SNb4,AHaHaCiK,1270
PLc0eZKi_UpAHzpYBld0EUEATMToGjdIV8Auaq1Fd_St7iByelaOa3sZ1Mfg5nXUv2aqQG-3IERwVg,UGX3nTBBrCLEjfHWJjfvd5TmE2dkh2INLPIziICrtk_vfvrPCtqW0PB_,GHKRjDMcG5_s6juY4iSzGFCW7o4T9DBREeoL85GbwWv00Ld9psRXw3RaMg,SHERNFlRE,1266
B3iRqovhG1LRtcxOM2LiYZCvyiFXvR-qEem23b-mvtt94FFvzNiBoosVFoSf_9YeJM1G0tWk80Nk4g,93NmK6oTXBnAIudi56nw10rgKDZiN-Tfko__gUDytj1DsAWiwnGgJGGw,3macFt0S5eVbks439rOSVTKQtuBNGa8QKbAkWJvpZz-PL6NyWrR-b4zqag,Flying Colors,1264
bnKd2rHFjrH641k2adGRULkTNuEEGVFPHGebNTfnzZCxl-emNedJHSHC6_9SEmJDj257e8pTodRmLQ,NqJX0eZuyA6W7sIMBHD-CKkX_YUS3M3ulFbG7cYorvlx6d0c6tUAIdH0,-g4zTJzRvfTQfnp1viXn8CqF5MoClufQCw1uAagmQHiBe48Z,VELJA THE MENACE,1253
mWY6AIXjt2zJJWOAbTpdl8zczSwALHK1pbXcC5v8p82yIPrTmAWOsgE5ziwDULrgDMmQBR3rZ8l6gw,LMtEgma97cRP2OWFor0ZNdt8gThXFgiqYeFq8I-Z-JJtg193mh1IY3eq,NuxPp9nwU_qzSUe2UvY7_kVmA4G7WZ6Coajkvx2GMejmIiFkIVvvOvlSFg,Noa Ehn,1253
tQGSPU5cYyRoJTD1EXb_PY9AGLoaalv6IPmcB2NuSaosqM-lSw3EDe4cR8Wxo3y_mLmOa8OdLPWSxA,9vmb5NSuM23D04Rmt-VYfJqh9KZIuuGCPFo6giT0BIQ058UgTZxY8WZL,q7YPgPZt3r6JkKi2eoDsKoQejQc6SqtWggPgK3SMnYDlPmU2Lct2BgrNjA,one sip please,1249
-tyUyJ5_sFlAaqtBQnnjaZwtnSlO58qs4xX1T2u-ADqVEN7dAr4-6YwYNoPzi6fdz80CzopNYe42lQ,rvVHO3Aj-DW5o_uJAoS7g5hApeIq080CEDQew2J5_yAWLw,NKowkoWDTw8fQiqURk1lsPp-GkywfkdFgczo544aLzpc5fw,Targamas,1243
HxXL-EgbikHfHdo97NEKxcRoLIeEbfOogRvUkaV_jdtVDUZLXeY1i3GuLp0WgV9DhZcKNUPc9NjWNw,rp6lf2O8o81bB-YNRgrNRYV1pcV3j1kOilNoygXo8zyHlbZj_GhFcuMm,GaMc00GuSIhZSd3-r52mS6XusJDtARgi-3sAWE4Ac54k3SFjLi5qns1GOA,23021930219,1242
ikq1L196SK7YyhzLH_M3VxER8SaY8cgJnyrRa729ZBduUlzaWx92rPPb3syW9UfFBETQbCXP-UCNrg,jrppVYrOrJU39oTuNUnyXr3wH7WCUPQQWjB2w54eVt0RDulrVV_ClZNC,1XAXirVwtV0YHt3wSBA9ELA4GyCe9hSpFdXS8O1G4ZICaeu7,BSC Coldraa,1241
4LM3mxILtCjh4-eexB_YRUsEnZEkfRuyDX73tbFgLHw6QT3MM2R3fFkrzobd24h5zWY597Q8F4ciIQ,XR9Jf9NDEL5OwyYXaRmqCMRDZiAnzCZLM5QZDnzzqv-c6wyVJk7wKEzP,YLuFS4Bpt4v6BCcn0fWHSCTv_0P9F27he6GadQSRe7SS4Rou,call of power,1234
Fltk7AwAZvn_ou7fDb2zDHulH1xmbDKKHkzPkCf8JR-PS5IKxmdJdaTA_IYBaeNF1boA_2jfRf-4jg,RwphyyOZWwhqcoLPMhVLm68hR91gWZHosj9XtX9m3xYrfw,6pdArpRQygCLtCbz2HCchp83ouX5sv7G3oiOcbF5FL-gLfk,FUN k3y,1230
0MA6lwsqU3Wp74mjyGzj3HmhEiyJz1ViniFjYUaH6KUqeriw4d0eq5IVoFN5TDSeBBqufDieUJc5Gg,kZH2q9h8sHxwgBSj6HfD0ClbNa4RBlEuCVK8fgo_VfthgKs,4ZOSTJJK9TDozQ36rOTxRQ-zWHQ9Via3yzazHn4ekbaIkPo,ismaaa1,1222
H_GmTKYELKnxEFi5hRy0PV_n417GrMg3XBWG-cAEjJQEb1fDrSqT2h17Y1kERGVTYOZqb3us8GMBmw,dVe2xDCPnfYfJsYVrgnHPt5t93oPulSPsTif0YfaP4yxB7c,ZwLWchLwSxBCNxmPbcsimtltuw7HT41NHn_eqA8Y5-hJ55jd,Emerald Dragon,1219
GdK3fJWBPHoN-nS5J7hL6pkigza25jurH4T1UNWmhZbIP3G1QmGE03tXgeu9fNlV1laN0fCR44aCwQ,IkL7iUB1jPb5hN8yqTgw5qMcY5JbezsRSKbmqdFYpyr9X6T_8iFtuU9v,owU6_upw0sTnDKr2XDLFspkPkNqjmwqzJYCUFFi-_9unCo0E,zhypey,1218
yo_6SDF2UZCNROVVwD9yCFpeT2vholu38_HThvIEabRlxggHfM_8LoUMkmztG7tPJd9Z3nI7vuVTEA,SsLSGPKnqIAeh46TN2NQDAzs-DJ07wFIVvC4lm_cklgO0iA,GO2BldF-SFjS0IQZhP8UZwiAvGR6psQwDcfmkLDScqYRFMA,pocovirtuoso,1212
z0wtQcfA3PMDovJcNuJFio6TB4WHQa4NeTqm1cDko8SCyeBq9BYXFPdRmZ5SKJui4ICZD9oJAxlCrw,Bfj09LxnmeRJG9esfqVrsudzx8RhsXVin63pnq_T7LnHdISm8IB1RMl_,EzfuLCIBqK642LbFpxiI7ATw2c2B6Xu_1S7CJpIv74Medi-S,Yikeru,1209
QL88aQ8VhG4awZJly2X0FqLKCi7w03Q3xZkMUB2tJlZFbL0E51Gs2mbmtDtttG51f0XPPL7XaJUk-w,ibZ8oUo0ys3vk6RibA9TyFd074THXJPfjcvKcIO_mGAr62s,PEE-8WEn_uZbohlYwax_FUtfcmHnd52jb82-TTJqK71tYkg,abcdefghijklmnoz,1208
qJSsA6zLziVsWeUPSm-OimLwvSKI4vNtDLmvVy7DiVEsaHHR4MVSsHbdH1iDvk8BflkJ6Dxg-wAZzg,hqTLIkfG1TfBa5fmC6AQ1jm7CvkQOou2NjDSwiJ9My2pQGA,MCPj6IcXTXH7RgWkBtNrVc4iDc3UYD-a0czw7A0-qjz8rHo,TakeSet sama,1204
Gt1MXMOcfXZ_Yx_Wf1obDUitBSCLugJ_q_026sGhkJOmhmwBBVYueM2XV829jXkKMy-rkhXyVxO0vw,JVS3611p1fMuwQXaQus7xGVYCAynqsqQR5fkZCegMLMATxKXeKJtisdb,X15oZDegqkhek_rB6RlGt_UwLwXVVBeLG0Ny670DonHbaMSy,LeBron The Xuy,1204
SjfEFwFclBHmm9pweQaxkVkoU1kFDwi2lC8MRADLz5hmlzAoR5iAMVQhnv3hKE5gQ_ULNx1d_vUXew,SNOGxxBk5ipkaYcFYdszzPp1C2yGiaLaBUJhakFLRRgWlA,5PzKQG7VjEpg1B5Y61-60hocYsDrDwsN2C0VSHG6pNv1xXw,BlauBarschBube,1203
Jjw_bhaVEDNKvUsZgUEvaUriczpe8iKUH34DWOR-kBZcNzjKaPQwc5AZHlUFn8IHeCtnZhvMIYWiEw,sd3pXsLRLX4QAFQ7WtwEB9wGuRRN0c5STnJhRftt3lFmMzw,cM6vwXPMzB0koL71kd_eM1nZTS5oz4dGFtsKggYKErY7Jre9,SK Alois,1203
60wUJNEJSoixDYWQIz44asG770yWprNr4bwoPW8XTssGEDN4rwtPmV7bdQjhgzJN7ZV-bsquRTjEvg,dJsPt756Pb2ruOg0kG5ev4G6M71NNAE1kROJJFRu2HClA0Y,LDqhz54OFm9lJjjc76kU1ZYsJLNNXywNcTVo2F5GUb5XNtjM,Iziio,1202
WNpuZ9GpUO2ekiQSE08MZCb3ad_2i8jC0pAqMw-p3kS4hrU-ntadeomPa3_w_OnjhogsY7HpaWPOzw,bg3EYy8b0Ra-l_ghES2FDK6Yft_fHbrfDKe5S72h9oIy5HMyRYQXbEEk,EO6EMQyB1H4aRvvGGXBC9wiK_ipIqvixPgD37ZQL6QkOaJeZ,im so Iost,1201
ZcyljDAbOap_5XapjkDeL7NrDGgDZpYqLCfjZAu8Phs6xDdP8mWFx5rQHXGoihbgMgtOc3azaW5cxw,Gvau17MIwk4mF9fyvawXQqU0v73a2O1qyo23TuztjPeef84,hv9LhxeIrMQzNj-VyIQUSJc5LZYLR3Q1gea11JPt0hqmTzw,ismααα,1200
7ApWPetkSRAXzoxRsXZz1TRwEnsBy6T-w5BJZkWjErQkM3nzYbM4Wg9Jp4z4Zr0KPNNHWRkG8Paoeg,Y8eX2RHLCGofNi42h6YRX7Y9LUf6Dvth6UzAlkic3FefwlIGwW3FNOQm,KiUcA1lgm5hCOdQ9U-xvtoETjSWVC_JGKM1fH7_3hT11kWs7m9JLBnl7gA,Sarub,1193
R58dI2UPEUKYpY8pjDq901IiG8a2Oh7iNsNLUnAu2umWKUPiPlqblAtRQnkIiF7qE6TX-FMTe_wmjA,EZdpHe--PyPCXEx48PPWsrCf7RQ81zBMN5I-Gpwo8kySW7vkQBQ2e5b0,g5n1JWSYxPLSP-sh58PpEDUp8iVqO04CL2U08wdl68B4AvyMOsQJMgWdJw,HOARAH LOUX Z,1190
5EPNFffQJ4ouKUTaleMfVgFmHkW40ShuvqGhLIgU5YzPWgDNkZLOrUOWSfGtf4BjeM4fse1oFAPu6g,pCcZ-HUO86LifFPyaQeXMaYn_iTZytBvHEqjsnDgywn0KpuBjpRgwWcu,gSGm5XaxLFq29G7Wri-JRzmw1QkIwRhX4D10jLE1xXPCL7RJpNyxqsWO5Q,Skeanz,1189
NVLWxEMoES2IlsFCxV_vIVavC1BLd9tGFb5eQvb4pgjFRJO9fFuPtRWIjXIISwnuYXtnuCCxvVqbLA,snEhCiRQ58PWL4dkQXjqMpdocw53E4GAqj5I-Egv-vnsfRNEcxNz-zV-,ZpoFJbm56q7OxnCTIwozPWmaGoQwjQgBDRFkfJE8O_uSGyXR06rvmBMBEQ,Fleshy2,1189
mMn3RMcJYcOUZkXXuuueDzMlEv4uxFEzhQDMo8yS_ekxZGr4IuWP2NCoXSmvMJK5FrM_esPSU44qWQ,BcvxU7PFfz1ALTFvtw9zHXMl_7i_mvRx1uo6iZ7idO3ztg,U-rDehFY_WMPf8Hpq_Wr9QjJDzfQxg499U3FhG_2jTBpuDk,BiIly Butcher,1187
Or5C04r-c6UxMs-q4iFWX_grWZyP1dlqw0owttweu1WpIgHcRZxHzoD5YFdg0EzUtzkmpEFp0BwWSQ,rBoUlXT4nh5JqEhvDgPGHwlwblOTD9tSPWJeYdqiKhDSzao,yH3H4HeR2isu_VZhuCddrD_vMNCe8PlD8Ic_qpabjJeedf4,Dzu,1185
7HE-K1Q2_G0DnpEJrinQ1O2ieTKgt8yzb5veKKPL7Vc_wbuTTUKpB2ZvQul3Q31R8-6kSUjZo1BLcw,1AkoRb-vSIDhJQBFiPo4fRiDxM8QIbRBpBqq2n61o7591-w,Lq51Tfm9kUk6h1oru3813CbtPyMNxv_SQY9uoPYrUnK-dIs,qweqweqweq,1181
3yO9r8C9rRjhbPsZhr5XzveV0forwofkWNr2ZL_6XgFGQJN1UX4o9k4t66DnwG4xwUszETvHsuDDAw,q-_hn2qUlCLmEG4X_rZhkUhOcOv_nSb0z4FF7pEDyi77Xnk,GfsZvKOj6169t5wmPaWz8O2Qhpz1IqAk0CZQRasQBEa2juEr,Zaremba,1177
INOOEyG2lEhyRCMeJk2QjZDb4UP0cAMRA2E3tCKpgrLdvFfdot_TKn4z8RogHGpcJCtXZ2v_lYGbFA,cilupB-con8O6PaaqQ_mHAIwd7gVIsMMFAbfrT71ppL9ku3lL7K0LSeR,OyPSFeMwPBMxFY0_xE8ahbIBW5Jcv86j3nOxDpUpI5ATtAgu,TTV Regn,1173
-nxcig3zJo5jMQ7QxLyvRkVjXWyIRdfYpFUNYFzRevLM9n_p8iX_UJ2DddjgkWkWUH2RTX8nS20cYg,c7xpy1xKQOx21u0YQLzJ4MNatYePT4Q218VZT9Dn1kVqWSk,V_NdnLM-ZF-K2RaWVRl_4f793agV3rj9_1kQWWx4kqXIuRc,PatkicaA,1163
xU19rORPXtSmAxNMBx9hFap1aJXaRgMUN4MnLfPj2K3WH3YEWZsCuxVM4_xcpDkB7JklKRwntQdk7w,Wk1MvGLPBNHvdeGfDY4gf5dOV9PmnlVHj4hamFWxfYfDRMU,nU1qooucDjw5F9Xawxj4rvaQ1O2zqH3_LsR75h1aTbcB5CE,elramir 2,1162
ZVjh6UCIDZqQfdbgE5AO5Cy5nen_SenFMbtp7YkToHxMm_7xS9NVELYu_I9Ibm9ptoGO4o7d8_9cxA,nbpZ-LZFxa4Uk5BtFqxFkrhAq6ylUS15-QBHaeu6R1tITOW_91RAkuL3,50GH-cY5ehFMHrw9juWpKpYD6bSoAzB7L-uGzD8WlGiFLiJO,Tοαst,1162
BFNpzGP9Jc3vG5ZnSG0XoZ8jP8RoBqeXcoxL7uUiRgGN6RI8XzwIc36ph6T5peg5riYgT5Aal1AT8A,TTv8lZgjIwkw_l94qRqcwGcU-MSIkxR7O8Z-yRN20p2BSew,5wqCgYQPjcIyFHukGOJXo46v0Wbr5PgU__57EPmAXNacNPI,olaksfhijdf,1160
w6LsjT03QQqZZ2iv5lW_k5lbYE85asYhXUTWHKIS-iQCR3O38v4-Vs7Ragd-2V7fCMe7d8CKQYk1jw,l0zxiZ4EA4sG7JcGO5olEmjZ8proZZQ_SJjysmdo0_F8WRa6cqKg7Zc9,d2iRjkCmLE1C-Esl97a2mdr4CcgH2nbc8HSxXjuVXANxT6BPZj4kKz03Sw,Retnyam,1159
EW50E6omcPKi47Q5_yO1tQ5ApY1mNxP9GOXp5SncEaM6RWpu6WITUK281d4RFFbpO5uQnIPe95WCZw,X3ZOqDlG9QDyoUyFB4LOW4ROPXny18JTERG31ZvqT502Pg,aLtGsu6WMdTW3QccOoduXv5X__kFqxUH0b1OLhF_Z2jKAcU,Finn1,1157
YRevYLymNqZ8lK1k8buviufQ9LWFjfMocMdE89BlQvDdJim_IlBS59b_LsW4sEGE2lcBg7gDHlZptQ,msF1G9S9oTum60zeNYVnD7WuxSSmN8k5H_bHwbuJ0KvLjCI,0vKua1gxE1uM_7ZwDCaM-f08ajmEXABLa2JAsnEQlkUCi4o,gunshotgun,1156
DgIk_GUBxZctyhvw5kvO8FAVMDNr1ZjPxRbL9kMuoHC3_UMhVRalGOfFbUvPwQIl-ct9ZN2xOqU5xg,xHrQOLNa4y2FWDcCEFxvLzDzJVZNyIbUUIEKVg7hj7nX-K4,CXwVOTgu1zE9uivqh5YNZEmPPZxjBQGaZpFeEaR9VAcQUTY,Rayito,1155
0UsYVVWh0w38YQ-qLFWzo-VB7QVzV6thAmZ8EEqIiZU2ReB2Qgyhj6dfG65NKNtIaEf_vGBLi9bDuQ,6UjKafBcTeR5UTbi5128qLfUyE6GUZU1BhGSzuDIfssclw,2Bwm_N-xxNcPevFePzaoMDqmjlZbJ4TTj8hjX-uV3Qwj3oc,Keduii R1,1151
dD4LdYHdmZpsUod6vBkYBTDzvEQUjhy_Vcmh9V_v5U5lUmXD9xtZR5yJl7-xrNWGHsYPenyctF5_YA,BJqljfYEusRpMxfd95QkmxuEiAtxZRYE0Dx2L1Gn0WhHjTxfcN8x02mz,jWbPlQzdk0FVsbYEtkifRh9VfMvw3Xso1rw3Aakgj-CYGAgqLslXyVOi9Q,Twitter Enemy,1150
DElrKNtsqw4lEYRMgVMY7oizUL9m-ONb9HHY6lViQ3iAkLkQ5bqOUFQjTq2Mp0Nuw9zqTGPbPG_MkA,ZoPba4EJ5R_L5MYREKBibBIp8bLWuVEbU8gX0y_DqhkaoQ,fIQ3gU96VDbdL4UbisZetI8QMViTnIKEgT5-gJdRithYMoA,Barkoon,1147
DyFVFBiyYF_fXtkvF6qD2nVlPKv1UXKBlQcfch-eIKhvlWlhhc_z66bFc9afb_NHpB-EtlEs0UEsCg,yP5X5t3PGbF44T2-A5LUuF_HHy1goa-ehmxf40-g77ZK_Afc3fQbJSEj,2cVEkNBknCk7ZPiDRZuFyYTkRJ_7nG3IemRykjYf2yKxtPgu5kWJJNn0vw,Ràion,1145
gfHy3hrCl9uW1fT-eR-Zb94l751T6vGYza3tiXZjSm9bt3HkGtPVhIVOQHfp5Op_Xl97jK0IMi1Yjw,nK4ausIkNTxH_Ycy9-iWMsfzZ8fFrR0hr-3nDAk4tpIWbIg,YdpsCJgi9RyfKTTjw94XTHTe1rpy1rOdP1Px6U77MwtIfhY,Odysseus131,1139
